股票代號,股票名稱,本益比,殖利率(%),股價淨值比
"3015","全漢","28.58","5.31","0.70"
"3016","嘉晶","46.39","1.11","2.58"
"3017","奇鋐","32.83","1.09","9.25"
"3018","隆銘綠能","","","2.74"
"3019","亞光","30.97","1.07","3.39"
"3021","鴻名","17.15","1.11","1.53"
"3022","威強電","11.80","4.41","1.34"
"3023","信邦","18.37","3.69","4.28"
"3024","憶聲","78.08","0.49","1.92"
"3025","星通","16.99","4.29","5.16"
"3026","禾伸堂","17.46","5.81","1.47"
"3027","盛達","","1.27","1.59"
"3028","增你強","22.48","6.59","1.19"
"3029","零壹","29.44","2.91","4.36"
"3030","德律","18.38","2.67","3.76"
"3031","佰鴻","14.78","3.89","1.19"
"3032","偉訓","18.21","3.75","3.29"
"3033","威健","14.25","5.55","1.55"
"3034","聯詠","14.58","6.40","4.79"
"3035","智原","54.28","1.83","4.65"
"3036","文曄","17.32","1.71","1.43"
"3037","欣興","27.93","2.06","2.39"
"3038","全台","11.42","6.12","1.46"
"3040","遠見","64.39","2.10","2.02"
"3041","揚智","","","3.11"
"3042","晶技","18.23","4.29","2.31"
"3043","科風","","","2.54"
"3044","健鼎","13.05","3.79","2.20"
"3045","台灣大","25.05","3.72","4.28"
"3046","建碁","12.58","4.11","2.49"
"3047","訊舟","156.50","","2.58"
"3048","益登","","3.21","1.88"
"3049","精金","","","0.95"
"3050","鈺德","31.07","2.87","1.06"
"3051","力特","18.11","2.99","2.24"
"3052","夆典","11.57","5.24","0.70"
"3054","立萬利","","","2.61"
"3055","蔚華科","","1.64","3.23"
"3056","富華新","","2.52","1.72"
"3057","喬鼎","","","1.59"
"3058","立德","","","1.56"
"3059","華晶科","31.39","1.94","1.10"
"3060","銘異","","1.05","1.22"
"3062","建漢","","","2.28"
"3090","日電貿","17.22","4.99","2.27"
"3092","鴻碩","","","1.46"
"3094","聯傑","207.14","2.10","2.41"
"3130","一零四","15.52","6.21","4.55"
"3138","耀登","35.88","2.41","2.57"
"3149","正達","","","2.85"
"3150","鈺寶-創","93.11","2.32","2.18"
"3164","景岳","32.13","2.55","1.25"
"3167","大量","120.79","0.47","3.52"
"3168","眾福科","16.40","7.76","1.87"
"3189","景碩","69.66","0.99","1.45"
"3209","全科","11.69","6.09","1.62"
"3229","晟鈦","","","1.80"
"3231","緯創","20.15","2.41","2.53"
"3257","虹冠電","19.37","5.74","2.63"
"3266","昇陽","13.84","4.20","1.07"
"3296","勝德","","","2.62"
"3305","昇貿","23.37","3.10","1.75"
"3308","聯德","","","1.27"
"3311","閎暉","59.48","3.48","0.87"
"3312","弘憶股","26.29","2.14","3.16"
"3321","同泰","","","3.12"
"3338","泰碩","22.42","3.13","2.85"
"3346","麗清","13.08","4.28","1.17"
"3356","奇偶","8.56","5.17","2.11"
"3376","新日興","32.91","1.91","2.32"
"3380","明泰","56.23","2.76","1.98"
"3406","玉晶光","11.53","2.54","2.21"
"3413","京鼎","13.89","3.65","2.28"
"3416","融程電","23.27","3.38","3.73"
"3419","譁裕","","","1.75"
"3432","台端","","","2.25"
"3437","榮創","","","1.27"
"3443","創意","54.77","1.03","17.38"
"3447","展達","","","4.26"
"3450","聯鈞","143.89","","9.16"
"3454","晶睿","48.96","3.23","3.03"
"3481","群創","","","0.54"
"3494","誠研","","","2.97"
"3501","維熹","12.25","4.88","1.06"
"3504","揚明光","","","2.24"
"3515","華擎","24.74","2.86","3.56"
"3518","柏騰","","","1.63"
"3528","安馳","12.61","2.95","1.77"
"3530","晶相光","","","2.75"
"3532","台勝科","25.13","5.00","1.59"
"3533","嘉澤","28.40","1.34","6.53"
"3535","晶彩科","166.25","","3.57"
"3543","州巧","","4.28","0.78"
"3545","敦泰","41.35","1.12","1.98"
"3550","聯穎","","","1.08"
"3557","嘉威","11.00","4.05","2.26"
"3563","牧德","175.23","1.80","4.67"
"3576","聯合再生","","","1.44"
"3583","辛耘","37.66","0.99","6.86"
"3588","通嘉","30.36","0.88","2.34"
"3591","艾笛森","32.53","2.00","1.21"
"3592","瑞鼎","13.93","3.95","2.50"
"3593","力銘","","","1.80"
"3596","智易","15.43","3.95","2.56"
"3605","宏致","65.00","","1.17"
"3607","谷崧","","3.68","1.30"
"3617","碩天","17.61","2.18","3.80"
"3622","洋華","12.35","3.22","1.31"
"3645","達邁","42.27","0.72","1.86"
"3652","精聯","48.45","0.86","1.65"
"3653","健策","75.97","0.66","15.93"
"3661","世芯-KY","46.22","0.68","7.51"
"3665","貿聯-KY","33.57","1.43","3.38"
"3669","圓展","19.59","3.08","1.17"
"3673","TPK-KY","23.64","","0.41"
"3679","新至陞","14.40","5.77","1.75"
"3686","達能","","","2.10"
"3694","海華","21.52","1.86","2.57"
"3701","大眾控","1313.33","1.78","1.96"
"3702","大聯大","13.81","5.22","1.45"
"3703","欣陸","14.09","4.98","0.89"
"3704","合勤控","46.74","3.73","1.54"
"3705","永信","13.99","4.26","1.88"
"3706","神達","26.84","1.80","1.46"
"3708","上緯投控","51.73","5.99","1.24"
"3711","日月光投控","21.43","3.24","2.25"
"3712","永崴投控","14.20","3.14","1.55"
"3714","富采","","2.17","0.70"
"3715","定穎投控","15.69","2.34","2.30"
"3716","中化控股","","","0.71"
"4104","佳醫","18.28","5.01","1.60"
"4106","雃博","25.68","3.28","1.02"
"4108","懷特","","","1.63"
"4119","旭富","22.30","1.38","1.99"
"4133","亞諾法","28.45","2.61","1.29"
"4137","麗豐-KY","12.41","9.41","1.61"
"4142","國光生","","","1.57"
"4148","全宇生技-KY","29.55","2.17","1.13"
"4155","訊映","130.94","1.43","1.26"
"4164","承業醫","20.95","4.92","1.08"
"4190","佐登-KY","","2.23","1.47"
"4306","炎洲","10.59","5.75","0.85"
"4414","如興","","","0.76"
"4426","利勤","","","0.74"
"4438","廣越","28.40","5.22","1.28"
"4439","冠星-KY","25.48","4.00","1.18"
"4440","宜新實業","14.05","4.21","1.21"
"4526","東台","","0.61","1.68"
"4532","瑞智","14.24","3.94","1.24"
"4536","拓凱","13.56","4.25","2.13"
"4540","全球傳動","","","1.82"
"4545","銘鈺","22.69","2.12","1.80"
"4551","智伸科","21.26","2.28","1.51"
"4552","力達-KY","11.19","4.59","0.45"
"4555","氣立","","1.20","1.02"
"4557","永新-KY","13.08","4.86","2.41"
"4560","強信-KY","22.28","2.81","1.32"
"4562","穎漢","","","6.10"
"4564","元翎","","","1.09"
"4566","時碩工業","31.58","1.88","1.65"
"4569","六方科-KY","34.11","2.18","2.28"
"4571","鈞興-KY","31.65","1.22","4.64"
"4572","駐龍","22.46","3.33","2.89"
"4576","大銀微系統","587.50","0.07","4.45"
"4581","光隆精密-KY","10.67","6.86","1.61"
"4583","台灣精銳","63.13","1.23","6.52"
"4588","玖鼎電力","22.87","3.73","4.03"
"4720","德淵","16.06","2.85","1.28"
"4722","國精化","19.96","2.20","1.52"
"4736","泰博","15.49","6.92","1.59"
"4737","華廣","","3.07","2.16"
"4739","康普","55.94","1.42","1.20"
"4746","台耀","21.74","2.81","1.10"
"4755","三福化","29.62","2.66","3.00"
"4763","材料-KY","11.80","1.36","6.56"
"4764","雙鍵","","","1.68"
"4766","南寶","13.99","4.87","2.67"
"4770","上品","14.43","3.92","3.08"
"4771","望隼","14.16","1.93","2.88"
"4807","日成-KY","","","1.05"
"4904","遠傳","27.45","3.56","3.77"
"4906","正文","41.52","4.35","1.14"
"4912","聯德控股-KY","20.10","1.20","2.32"
"4915","致伸","14.07","5.14","2.00"
"4916","事欣科","","1.31","1.53"
"4919","新唐","37.75","3.37","2.32"
"4927","泰鼎-KY","","","1.04"
"4930","燦星網","11.89","7.62","0.74"
"4934","太極","","","1.47"
"4935","茂林-KY","18.89","2.39","0.96"
"4938","和碩","13.73","4.28","1.26"
"4942","嘉彰","11.41","5.57","0.66"
"4943","康控-KY","","","4.12"
"4949","有成精密","","10.50","1.01"
"4952","凌通","24.62","2.24","2.82"
"4956","光鋐","","","1.86"
"4958","臻鼎-KY","14.16","2.66","1.14"
"4960","誠美材","","","0.84"
"4961","天鈺","13.95","4.57","1.61"
"4967","十銓","8.70","2.10","1.65"
"4968","立積","347.41","","7.86"
"4976","佳凌","","","2.04"
"4977","眾達-KY","144.95","1.53","2.91"
"4989","榮科","","","1.13"
"4994","傳奇","26.58","3.96","5.82"
"4999","鑫禾","207.50","3.01","0.72"
"5007","三星","14.64","5.52","2.30"
"5203","訊連","29.14","3.17","1.53"
"5215","科嘉-KY","14.13","3.32","0.83"
"5222","全訊","23.05","3.23","4.28"
"5225","東科-KY","11.04","5.03","2.94"
"5234","達興材料","39.71","2.12","6.39"
"5243","乙盛-KY","24.95","2.23","1.62"
"5244","弘凱","21.91","2.23","2.04"
"5258","虹堡","12.52","2.02","2.21"
"5269","祥碩","43.03","0.93","4.80"
"5283","禾聯碩","15.68","7.73","1.76"
"5284","jpp-KY","","3.28","3.22"
"5285","界霖","26.46","4.00","1.72"
"5288","豐祥-KY","12.88","3.95","2.41"
"5292","華懋","17.01","3.49","3.87"
"5306","桂盟","18.20","2.87","1.84"
"5388","中磊","14.81","4.08","2.32"
"5434","崇越","16.68","3.40","3.34"
"5469","瀚宇博","9.77","3.21","0.76"
"5471","松翰","35.63","3.03","1.91"
"5484","慧友","","","8.00"
"5515","建國","9.54","3.70","1.17"
"5519","隆大","8.01","6.49","1.39"
"5521","工信","155.00","","0.99"
"5522","遠雄","13.39","4.37","1.37"
"5525","順天","28.87","5.62","1.80"
"5531","鄉林","","","1.04"
"5533","皇鼎","13.71","5.96","0.60"
"5534","長虹","11.56","6.44","1.29"
"5538","東明-KY","17.83","3.08","0.92"
"5546","永固-KY","","6.58","1.10"
"5607","遠雄港","24.25","4.03","1.50"
"5608","四維航","","","0.67"
"5706","鳳凰","17.15","4.58","3.18"
"5871","中租-KY","8.45","5.98","1.21"
"5876","上海商銀","19.12","4.34","1.04"
"5880","合庫金","20.08","4.08","1.47"
"5906","台南-KY","24.21","3.82","2.54"
"5907","大洋-KY","","","0.46"
"6005","群益證","11.29","5.43","1.26"
"6024","群益期","10.02","6.02","1.61"
"6108","競國","8.65","2.99","0.68"
"6112","邁達特","31.52","5.32","2.30"
"6115","鎰勝","17.63","5.85","1.87"
"6116","彩晶","","","0.62"
"6117","迎廣","24.39","","4.86"
"6120","達運","43.97","0.78","0.90"
"6128","上福","10.69","7.35","1.04"
"6133","金橋","57.43","","1.94"
"6136","富爾特","32.71","5.24","0.73"
"6139","亞翔","11.58","4.37","3.61"
"6141","柏承","","","1.20"
"6142","友勁","","","1.39"
"6152","百一","","","1.45"
"6153","嘉聯益","","","0.88"
"6155","鈞寶","36.90","3.24","1.40"
"6164","華興","50.74","","1.16"
"6165","浪凡","45.81","0.88","2.52"
"6166","凌華","","1.32","3.21"
"6168","宏齊","225.56","2.46","1.36"
"6176","瑞儀","16.00","4.98","2.66"
"6177","達麗","9.65","8.07","2.26"
"6183","關貿","25.64","3.29","4.82"
"6184","大豐電","14.62","5.78","1.71"
"6189","豐藝","14.82","4.31","2.86"
"6191","精成科","8.29","6.17","1.15"
"6192","巨路","12.57","4.55","1.57"
"6196","帆宣","17.14","4.12","2.56"
"6197","佳必琪","18.60","2.79","4.65"
"6201","亞弘電","12.86","6.94","1.84"
"6202","盛群","","0.96","2.93"
"6205","詮欣","32.46","1.86","2.54"
"6206","飛捷","14.44","4.66","2.56"
"6209","今國光","","1.80","1.66"
"6213","聯茂","30.74","1.91","1.40"
"6214","精誠","20.37","3.75","2.17"
"6215","和椿","54.17","1.18","4.68"
"6216","居易","17.34","3.95","2.16"
"6224","聚鼎","33.14","2.59","2.18"
"6225","天瀚","43.50","","4.31"
"6226","光鼎","","","0.92"
"6230","尼得科超眾","170.43","0.54","2.85"
"6235","華孚","18.22","2.53","2.98"
"6239","力成","10.08","5.62","1.69"
"6243","迅杰","136.53","2.44","2.70"
"6257","矽格","14.71","3.80","1.70"
"6269","台郡","52.54","7.80","0.85"
"6271","同欣電","15.84","1.74","1.14"
"6277","宏正","19.51","5.68","1.94"
"6278","台表科","11.07","4.59","1.50"
"6281","全國電","17.83","5.49","2.92"
"6282","康舒","","1.63","1.16"
"6283","淳安","","","2.49"
"6285","啟碁","19.97","4.41","2.15"
"6288","聯嘉","79.71","0.70","1.72"
"6405","悅城","","0.30","0.95"
"6409","旭隼","40.03","1.98","18.87"
"6412","群電","13.72","5.06","3.20"
"6414","樺漢","17.89","3.87","1.72"
"6415","矽力*-KY","103.79","0.48","4.71"
"6416","瑞祺電通","26.59","2.57","2.31"
"6423","億而得-創","99.09","1.02","5.24"
"6426","統新","","0.59","3.29"
"6431","光麗-KY","","","1.99"
"6438","迅得","39.05","2.70","3.60"
"6442","光聖","71.69","0.34","14.89"
"6443","元晶","56.56","2.21","1.24"
"6446","藥華藥","106.12","","7.52"
"6449","鈺邦","29.61","1.61","3.36"
"6451","訊芯-KY","144.94","1.01","3.93"
"6456","GIS-KY","","","0.54"
"6464","台數科","14.29","5.53","1.27"
"6472","保瑞","19.62","1.61","6.47"
"6477","安集","","2.91","1.04"
"6491","晶碩","14.11","2.77","2.67"
"6504","南六","308.57","1.70","1.32"
"6505","台塑化","55.08","5.67","1.08"
"6515","穎崴","42.28","1.03","8.35"
"6525","捷敏-KY","14.49","5.37","1.96"
"6526","達發","53.33","0.70","6.58"
"6531","愛普*","36.48","2.15","4.63"
"6533","晶心科","","","4.26"
"6534","正瀚-創","22.16","4.98","3.23"
"6541","泰福-KY","","","8.73"
"6550","北極星藥業-KY","","","5.47"
"6552","易華電","","0.81","1.00"
"6558","興能高","","","2.26"
"6573","虹揚-KY","","","2.00"
"6579","研揚","29.33","5.09","2.20"
"6581","鋼聯","16.81","3.74","3.04"
"6582","申豐","572.73","","1.08"
"6585","鼎基","14.84","2.64","2.76"
"6591","動力-KY","17.13","5.24","1.04"
"6592","和潤企業","15.86","5.22","1.50"
"6598","ABC-KY","","","2.25"
"6605","帝寶","12.41","2.92","2.02"
"6606","建德工業","28.74","5.49","1.67"
"6625","必應","15.51","5.21","4.71"
"6641","基士德-KY","14.87","3.00","0.82"
"6645","金萬林-創","","","2.71"
"6655","科定","27.23","7.03","4.36"
"6657","華安","","","6.12"
"6658","聯策","387.14","1.48","2.48"
"6666","羅麗芬-KY","25.31","2.62","1.38"
"6668","中揚光","","","2.35"
"6669","緯穎","25.59","1.58","6.16"
"6670","復盛應用","12.74","4.07","3.12"
"6671","三能-KY","14.10","6.01","1.45"
"6672","騰輝電子-KY","12.41","5.28","1.34"
"6674","鋐寶科技","","","1.55"
"6689","伊雲谷","39.52","1.86","2.50"
"6691","洋基工程","24.52","4.42","7.59"
"6695","芯鼎","","","3.78"
"6698","旭暉應材","","","2.05"
"6706","惠特","","","2.98"
"6715","嘉基","30.50","2.00","3.07"
"6719","力智","95.28","0.90","1.71"
"6742","澤米","","2.22","2.73"
"6743","安普新","18.12","1.19","2.09"
"6753","龍德造船","14.42","1.56","3.27"
"6754","匯僑設計","10.26","5.46","1.85"
"6756","威鋒電子","62.56","1.57","3.16"
"6757","台灣虎航","11.35","","5.01"
"6768","志強-KY","18.78","3.05","1.70"
"6770","力積電","","","0.74"
"6771","平和環保-創","14.04","6.90","2.17"
"6776","展碁國際","12.93","5.91","2.29"
"6781","AES-KY","43.36","1.20","5.99"
"6782","視陽","18.28","1.34","3.01"
"6789","采鈺","75.20","0.35","5.22"
"6790","永豐實","12.53","7.04","2.06"
"6792","詠業","33.19","5.68","1.87"
"6794","向榮生技-創","","","5.84"
"6796","晉弘","","2.14","4.13"
"6799","來頡","26.87","3.11","2.67"
"6805","富世達","58.31","0.65","11.20"
"6806","森崴能源","31.97","1.27","2.08"
"6807","峰源-KY","11.88","2.96","1.95"
"6830","汎銓","69.03","2.88","2.58"
"6834","天二科技","249.23","","1.97"
"6835","圓裕","11.59","5.09","1.52"
"6838","台新藥","","","3.58"
"6854","錼創科技-KY創","","","9.26"
"6861","睿生光電","21.75","1.77","1.87"
"6862","三集瑞-KY","18.78","2.45","4.36"
"6863","永道-KY","24.27","1.29","3.01"
"6869","雲豹能源","87.93","2.97","4.33"
"6873","泓德能源","22.71","2.00","3.04"
"6885","全福生技","","","2.38"
"6890","來億-KY","69.17","1.15","4.13"
"6901","鑽石投資","","","2.48"
"6902","GOGOLOOK-創","","","9.57"
"6906","現觀科","44.41","2.04","5.54"
"6914","阜爾運通","16.46","3.89","2.33"
"6916","華凌","149.06","4.40","1.43"
"6919","康霈*","","","9.70"
"6923","中台","23.40","3.60","2.78"
"6924","榮惠-KY創","16.52","4.32","3.69"
"6928","攸泰科技","","1.75","2.29"
"6933","AMAX-KY","56.92","1.36","4.45"
"6937","天虹","61.06","0.54","7.65"
"6949","沛爾生醫-創","","","3.68"
"6951","青新-創","18.20","3.23","3.32"
"6952","大武山","26.46","2.04","1.94"
"6955","邦睿生技-創","54.09","0.86","8.53"
"6957","裕慶-KY","13.55","6.02","4.70"
"6958","日盛台駿","20.46","4.07","0.89"
"6962","ITH-KY","23.44","1.89","1.52"
"6969","成信實業*-創","","","4.89"
"6988","威力暘-創","2575.00","1.36","1.53"
"7705","三商餐飲","16.90","4.51","3.51"
"7722","LINEPAY","42.79","","4.46"
"8011","台通","31.86","","1.38"
"8016","矽創","13.95","5.53","2.31"
"8021","尖點","25.26","2.33","1.07"
"8028","昇陽半導體","80.59","1.31","6.04"
"8033","雷虎","228.46","","6.77"
"8039","台虹","19.22","2.93","1.13"
"8045","達運光電","10.72","6.57","4.36"
"8046","南電","87.69","4.68","1.68"
"8070","長華*","23.85","5.38","1.78"
"8072","陞泰","30.44","3.08","0.87"
"8081","致新","14.41","5.75","2.83"
"8101","華冠","","","5.54"
"8103","瀚荃","16.87","2.52","1.17"
"8104","錸寶","390.00","","1.73"
"8105","凌巨","","0.65","0.86"
"8110","華東","47.17","1.41","0.70"
"8112","至上","12.76","6.68","1.83"
"8114","振樺電","39.75","1.34","6.67"
"8131","福懋科","16.08","3.18","1.10"
"8150","南茂","13.59","5.76","0.91"
"8162","微矽電子-創","33.42","1.25","1.96"
"8163","達方","17.09","9.14","1.07"
"8201","無敵","","","2.10"
"8210","勤誠","16.50","1.81","5.01"
"8213","志超","10.73","2.89","0.59"
"8215","明基材","52.71","3.86","1.75"
"8222","寶一","36.13","0.81","2.87"
"8249","菱光","23.84","1.97","1.26"
"8261","富鼎","24.68","2.68","2.03"
"8271","宇瞻","14.04","7.05","1.29"
"8341","日友","24.93","4.37","2.20"
"8367","建新國際","12.20","5.43","1.30"
"8374","羅昇","1078.57","0.20","8.54"
"8404","百和興業-KY","76.43","","1.63"
"8411","福貞-KY","","0.62","0.48"
"8422","可寧衛","19.18","5.54","3.23"
"8429","金麗-KY","600.00","","0.35"
"8438","昶昕","14.38","2.87","1.22"
"8442","威宏-KY","10.17","5.01","1.96"
"8443","阿瘦","","","0.98"
"8454","富邦媒","25.67","4.17","10.03"
"8462","柏文","31.13","1.87","4.77"
"8463","潤泰材","21.91","2.51","1.55"
"8464","億豐","17.45","3.15","4.38"
"8466","美吉吉-KY","49.02","0.75","1.00"
"8467","波力-KY","29.91","","5.90"
"8473","山林水","32.52","0.87","0.97"
"8476","台境*","12.00","9.86","1.90"
"8478","東哥遊艇","11.30","5.71","2.30"
"8481","政伸","21.87","3.98","2.04"
"8482","商億-KY","29.56","2.61","2.72"
"8487","愛爾達-創","10.51","6.43","2.83"
"8488","吉源-KY","","","0.41"
"8499","鼎炫-KY","13.49","3.40","0.62"
"8926","台汽電","25.91","4.68","2.01"
"8940","新天地","95.40","","2.43"
"8996","高力","56.11","1.20","9.24"
"9802","鈺齊-KY","27.17","4.10","1.78"
"9902","台火","19.81","1.89","1.21"
"9904","寶成","8.41","2.79","0.83"
"9905","大華","14.93","4.81","0.88"
"9906","欣巴巴","34.48","4.64","6.34"
"9907","統一實","22.69","1.97","1.18"
"9908","大台北","15.46","3.96","1.10"
"9910","豐泰","23.37","3.23","5.49"
"9911","櫻花","13.63","4.65","2.94"
"9912","偉聯","","","1.43"
"9914","美利達","31.86","3.86","2.16"
"9917","中保科","19.97","4.09","4.56"
"9918","欣天然","17.83","3.72","2.23"
"9919","康那香","","1.73","1.27"
"9921","巨大","23.84","3.36","1.67"
"9924","福興","10.66","5.77","1.34"
"9925","新保","17.74","4.86","1.34"
"9926","新海","18.75","3.91","2.26"
"9927","泰銘","10.64","8.17","1.67"
"9928","中視","50.00","","0.47"
"9929","秋雨","","","1.94"
"9930","中聯資源","15.45","4.46","2.72"
"9931","欣高","14.81","2.92","1.42"
"9933","中鼎","15.93","5.09","1.72"
"9934","成霖","10.26","8.60","0.91"
"9935","慶豐富","15.90","1.67","2.04"
"9937","全國","26.51","3.29","3.60"
"9938","百和","16.52","1.43","1.64"
"9939","宏全","15.06","3.58","2.41"
"9940","信義","10.81","5.58","1.55"
"9941","裕融","12.52","6.01","1.75"
"9942","茂順","13.13","6.14","2.39"
"9943","好樂迪","16.55","6.57","2.54"
"9944","新麗","167.08","2.99","0.61"
"9945","潤泰新","10.85","3.47","1.16"
"9946","三發地產","26.88","2.96","1.17"
"9955","佳龍","","","2.35"
"9958","世紀鋼","20.91","1.70","3.44"
